no	tarih	baslik	durum	iliski	kaynak
187	2026-05-31	Sabit-px `::after` glow taşması (Brief M)	AKTIF	↔372	2026-07.md:705
334	2026-07-05	Kayıt butonu metni Kayıt-Tipi şablonuna bağlandı ("Yerini ayır")	SUPERSEDE	→424	2026-07.md:1044
336	2026-07-05	Sol ember çizgi — ember/durum ayrımı	SUPERSEDE	→414	20-ref-site.md:156
372	2026-07	Mobil zoom-out ilkesi — `hidden` extent silmez, `clip` siler	KALICI	↔187 · clip UYGULANDI (kod teyitli, pilot bayat)	src/styles/global.css:21,142
398	2026-07	Çekirdek ekip yapısı — psikolog rolü çekirdekten çıkarıldı	AKTIF		20-ref-marka.md:297
404	2026-07	İmza cümleler eksen ayrımı — üçü de yaşar	KALICI		20-ref-icerik-dili.md:39
405	2026-07	/atolye karar sayfasıdır — ölçüt "seçim mi merak mı"	SUPERSEDE	→413	2026-07.md:1043
406	2026-07	kayit-cta marker'ı component instance'a delege	SUPERSEDE	→423	2026-07.md:1043
423	2026-07	kayit-cta emekli → sonraki-bulusma + mini-cta iki-section	AKTIF	←307,332,335,406,433 · SSR sayfalarda statik teyit yok	2026-08.md:34
424	2026-07	CTA buton dili — tek-etkinlik vs havuz revizesi	AKTIF	←334,445	20-ref-site.md:198
432	2026-07-12	Fiyat sayfada geçmez; "sembolik" de "yatırım" da denmez	KALICI		2026-08.md:58
433	2026-07-12	Format sayfası kayıt CTA'sı için Notion marker zorunluluğu	SUPERSEDE	→423	20-ref-site.md:196
444	2026-07	Sıklık sözü yasağı — "ayda en az bir" düştü, takvim gösterir	KALICI		2026-07.md:42
445	2026-07	CTA buton dili — tek etkinlik vs havuz kuralı	SUPERSEDE	→424 (kısmen)	20-ref-site.md:198
47	2026-02-19	İlk yıl Advaita merkezli + ekip geçiş zaman çizelgesi	AKTIF		2026-02.md:72
93	2026-05-21	Section etiketi retrofit tamam — 13 sayfa, standart sabit	AKTIF		2026-05.md:86
96	2026-05-21	Site mimarisi — Astro SSG + Notion canlı binding	KALICI		2026-05.md:94
97	2026-05-21	Notion internal integration "Ocak Site" kuruldu	AKTIF		2026-05.md:95
98	2026-05-21	Kod snapshot + repo adı düzeltmesi + admin.html iptali	AKTIF		2026-05.md:96
99	2026-05-21	Astro iskelet teslimi — 22 dosyalık başlangıç paketi	AKTIF		2026-05.md:102
104	2026-05-22	İleri iş bırakma yasağı — 10-15 dk'lık iş sonraya kalmaz	KALICI		2026-05.md:119
112	2026-05-23	#23 Brief 1 — pipeline kurulumu (dinamik route + plugin render)	AKTIF		2026-05.md:170
114	2026-05-23	Glow stop verbatim	SUPERSEDE	→366 (kısmi: stop verbatim korundu, geometri değişti)	2026-07.md#k366
115	2026-05-23	#23 Brief 3 — ana sayfa override (hero OMIT) + form + proxy	AKTIF		2026-05.md:173
116	2026-05-24	#24 QA pass + prose tipografi sistematik fix	AKTIF		2026-05.md:192
123	2026-05-24	Lansman çerçevesi — "Brief I" terimi iptal, #28/#29 ayrımı	AKTIF		2026-05.md:537
125	2026-05-25	Başvuru altyapısı + form temizliği tam tasarım	SUPERSEDE	→423 (CTA ayağı; başvuru route/DB yaşıyor)	2026-08.md:100
146	2026-05-27	Brief I.1 — GTM container iskeleti	AKTIF		2026-05.md#k146
150	2026-05-26	"Algısal" yasağı — en az iki kanıt yöntemi olmadan denmez	KALICI		2026-05.md:1872
173	2026-05-31	Form validation katmanı — koşulsuz reset 5 form × 16 yer	AKTIF		2026-05.md:3192
174	2026-05-31	Email Unicode reject — ASCII sınırı	AKTIF		2026-05.md:3330
175	2026-05-31	Success state scroll hizalama	AKTIF		2026-05.md:3196
185	2026-05-31	Logo easter egg davranış katmanı	SUPERSEDE	→311 (kısmi: navigasyon bastırma; egg korundu)	2026-07.md:373
188	2026-05-31	Astro tooling — `astro check` tek doğrulama	KALICI		2026-05.md:3276
194	2026-05-31	Honeypot bot koruma katmanı (KARAR 152 uygulaması)	AKTIF		2026-05.md:3216
202	2026-06-03	Inline ember — `<code>` ember rengi, monospace/gri kutu iptal	AKTIF		2026-06.md:105
218	2026-05-31	`kayit-cta` slug'dan otomatik hedef	SUPERSEDE	→423 (mantık devralındı)	20-ref-site.md:170
259	2026-06	Footer yasal linkler her sayfada kalır	SUPERSEDE	→364 (kısmi)	00-devir.md:12
